Colorado (PST) SNOTEL,Site Mesa,Lakes -,NRCS National,Water and Climate Center - Provisional Data - subject to revision as of Sun Dec 17 21:06:59 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.
,,,,
"Site Id,Date,Time,WTE",Q.I-1 (in),",PREC.I","-1 (in) ,TOBS.","I-1 (degC) ,SNWD.I-1 (in) ,"
"622,2022-10-01,00:00,","0.0,","0.0,","3.2,","0,"
"622,2022-10-01,01:00,","0.0,","0.0,","3.6,","1,"
"622,2022-10-01,02:00,","0.0,","0.0,","3.7,","0,"
"622,2022-10-01,03:00,","0.0,","0.0,","4.2,","1,"
"622,2022-10-01,04:00,","0.0,","0.1,","4.0,","0,"
"622,2022-10-01,05:00,","0.0,","0.0,","3.2,","0,"
"622,2022-10-01,06:00,","-0.1,","0.0,","3.6,","1,"
"622,2022-10-01,07:00,","0.0,","0.1,","3.9,","0,"
"622,2022-10-01,08:00,","0.0,","0.0,","6.4,","0,"
"622,2022-10-01,09:00,","0.1,","0.2,","2.1,","-1,"
"622,2022-10-01,10:00,","0.1,","0.2,","5.3,","0,"
"622,2022-10-01,11:00,","0.0,","0.2,","7.5,","0,"
"622,2022-10-01,12:00,","0.0,","0.2,","7.7,","0,"
"622,2022-10-01,13:00,","0.0,","0.1,","6.9,","0,"
"622,2022-10-01,14:00,","0.0,","0.2,","7.5,","0,"
"622,2022-10-01,15:00,","0.0,","0.1,","7.8,","0,"
"622,2022-10-01,16:00,","0.0,","0.2,","7.0,","0,"
"622,2022-10-01,17:00,","0.0,","0.2,","6.6,","0,"
"622,2022-10-01,18:00,","-0.1,","0.2,","5.3,","0,"
"622,2022-10-01,19:00,","-0.1,","0.1,","4.9,","0,"
"622,2022-10-01,20:00,","0.0,","0.2,","4.5,","0,"
"622,2022-10-01,21:00,","0.0,","0.3,","4.0,","0,"
"622,2022-10-01,22:00,","0.0,","0.3,","5.1,","0,"
"622,2022-10-01,23:00,","0.0,","0.4,","5.1,","-1,"
"622,2022-10-02,00:00,","0.0,","0.4,","6.1,","0,"
"622,2022-10-02,01:00,","0.0,","0.4,","5.1,","0,"
"622,2022-10-02,02:00,","0.0,","0.4,","3.9,","-1,"
"622,2022-10-02,03:00,","0.0,","0.4,","4.4,","-1,"
"622,2022-10-02,04:00,","0.0,","0.4,","4.0,","0,"
"622,2022-10-02,05:00,","0.0,","0.4,","3.7,","0,"
"622,2022-10-02,06:00,","0.0,","0.5,","3.7,","0,"
"622,2022-10-02,07:00,","0.0,","0.5,","4.8,","0,"
"622,2022-10-02,08:00,","0.0,","0.5,","4.3,","0,"
"622,2022-10-02,09:00,","0.0,","0.4,","5.3,","0,"
"622,2022-10-02,10:00,","0.0,","0.5,","4.8,","0,"
"622,2022-10-02,11:00,","0.0,","0.4,","5.9,","0,"
"622,2022-10-02,12:00,","0.0,","0.5,","6.4,","0,"
"622,2022-10-02,13:00,","0.0,","0.5,","6.6,","0,"
"622,2022-10-02,14:00,","0.0,","0.4,","6.0,","0,"
"622,2022-10-02,15:00,","0.0,","0.5,","6.5,","0,"
"622,2022-10-02,16:00,","0.0,","0.5,","5.7,","0,"
"622,2022-10-02,17:00,","0.1,","0.7,","2.4,","0,"
"622,2022-10-02,18:00,","0.3,","0.9,","1.4,","-1,"
"622,2022-10-02,19:00,","0.4,","1.0,","1.4,-99.9",","
"622,2022-10-02,20:00,","0.4,","1.0,","2.8,","0,"
"622,2022-10-02,21:00,","0.3,","1.0,","2.5,","0,"
"622,2022-10-02,22:00,","0.3,","1.1,","2.5,","1,"
"622,2022-10-02,23:00,","0.3,","1.1,","3.2,","1,"
"622,2022-10-03,00:00,","0.0,","1.1,","3.4,","0,"
"622,2022-10-03,01:00,","0.3,","1.0,","3.2,","1,"
"622,2022-10-03,02:00,","0.3,","1.1,","3.8,","1,"
"622,2022-10-03,03:00,","0.2,","1.1,","4.0,","1,"
"622,2022-10-03,04:00,","0.2,","1.1,","3.9,","1,"
"622,2022-10-03,05:00,","0.2,","1.1,","3.6,","1,"
"622,2022-10-03,06:00,","0.2,","1.2,","3.8,","1,"
"622,2022-10-03,07:00,","0.2,","1.1,","5.1,","1,"
"622,2022-10-03,08:00,","0.2,","1.1,","7.5,","0,"
"622,2022-10-03,09:00,","0.2,","1.1,","8.1,","0,"
"622,2022-10-03,10:00,","0.1,","1.0,","8.2,","0,"
